name,address,locality
Barking Fire Station,"Alfred's Way, IG11 0BB",North East
Dagenham Fire Station,"70 Rainham Road North, Dagenham, RM10 7ES ",North East
Dowgate Fire Station,"94-95 Upper Thames Street, EC4R 3UE",North East
Shoreditch Fire Station,"235 Old Street, EC1V 9EY",North East
Stoke Newington Fire Station,"64 Stoke Newington Church Street, N16 0AR",North East
Homerton Fire Station,"97 Homerton High Street Hackney, London E9 6DL",North East
Harold Hill Fire Station,"Units 7 - 9 Falcon Business Centre Ashton Road Romford, RM3 8UN",North East
Hornchurch Fire Station,"42 North Street, RM11 1SH",North East
Romford Fire Station,"198 Pettits Boulevard , RM1 4PL",North East
Wennington Fire Station,Wennington Road RM13 9EE,North East
Holloway Fire Station,"270 - 282 Hornsey Road, N7 7QZ",North East
Islington Fire Station,"278 Upper Street, N1 2TZ",North East
East Ham Fire Station,"210 High Street South, E6 3RS",North East
Plaistow Fire Station,"145 Prince Regent Lane, E13 8SG",North East
Stratford Fire Station,"117 Romford Road, E15 4EH",North East
Hainault Fire Station,"368 - 388 New North Road, IG6 3DY",North East
Woodford Fire Station,"2 Snakes Lane, IG8 0BS",North East
Ilford Fire Station,"460 High Road, IG1 1UE",North East
Bethnal Green Fire Station,"11 Roman Road, E2 0HU",North East
Millwall Fire Station,"43 Westferry Road, E14 8JH",North East
Poplar Fire Station,"168 East India Dock Road, E14 0BP",North East
Shadwell Fire Station,"290 Cable Street, E1 0BX",North East
Whitechapel Fire Station,27 Commercial Road E1 1LD,North East
Chingford Fire Station,"34 The Ridgeway, E4 6PP",North East
Leyton Fire Station,"90B Church Road, E10 5HG",North East
Leytonstone Fire Station,"466 High Street, E11 3HN",North East
Walthamstow Fire Station,"343 Forest Road, E17 5JR",North East
Barnet Fire Station,"144 Station Road, EN5 1TE",North West
Finchley Fire Station,"227 Long Lane, N3 2RP",North West
Hendon Fire Station,"91 The Burroughs Hendon, NW4 4BL",North West
Mill Hill Fire Station,"10 Hartley Avenue, NW7 2HX",North West
Park Royal Fire Station,"Waxlow Road, NW10 7NU",North West
Wembley Fire Station,"591A Harrow Road, HA0 2EG",North West
Willesden Fire Station,"59a Pound Lane, NW10 2HH",North West
Kentish Town Fire Station,"20 Highgate Rd, London NW5 1NS",North West
Euston Fire Station,"172 Euston Road, NW1 2DH",North West
West Hampstead Fire Station,"327B West End Lane, NW6 1RS",North West
Acton Fire Station,"27 Gunnersbury Lane, W3 8EA",North West
Ealing Fire Station,"60-64 Uxbridge Road, W13 8RA",North West
Northolt Fire Station,"74 Petts Hill, UB5 4JT",North West
Southall Fire Station,"17 - 19 High Street, UB1 3HA",North West
Enfield Fire Station,"93 Carterhatch Lane, EN1 4LA",North West
Edmonton Fire Station,"99 Church Street, N9 9AA",North West
Southgate Fire Station,"96 High Street, N14 6BN",North West
Hornsey Fire Station,"108 Park Avenue South, N8 8LS",North West
Tottenham Fire Station,"49 St Loys Road, N17 6UE",North West
Harrow Fire Station,"500 Pinner Road, HA5 5RW",North West
Stanmore Fire Station,"650 Honeypot Lane, HA7 1JS",North West
Hayes Fire Station,"65 Shepiston Lane , UB3 1LL",North West
